Name,Description,Year,Engine,Power,Price,Fuel,Mileage,Location
Nissan Qashqai,2.0 140KM ACENTA 4x4,2013,1 997 cm3,140 KM,43 000,Benzyna,157 000 km,Łuczyce (Małopolskie)
Nissan Primastar,,2007,1 995 cm3,115 KM,21 800,Diesel,382 466 km,Chybie (Śląskie)
Nissan Juke 1.0 DIG-T N-Design DCT,"Pierwszy użytkownik, bardzo bogata wersja N-Design 7DCT 117KM",2020,999 cm3,117 KM,88 000,Benzyna,44 900 km,Pszczyna (Śląskie)
Nissan Almera II 1.5 Acenta,Nissan Almera II 1.5,2003,1 497 cm3,98 KM,4 200,Benzyna,187 500 km,Oświęcim (Małopolskie)
Nissan Primastar,1.9 101KM * 9 OSOBOWY * KLIMA * NAWIEWY * Wzorowy Stan ! Polecam !,2004,1 995 cm3,114 KM,29 900,Diesel,229 000 km,Radoszyce (Świętokrzyskie)
Nissan Juke 1.6 N-Connecta Xtronic,Nissan Juke 2019 1.6 automat,2019,1 598 cm3,112 KM,67 000,Benzyna,58 000 km,Kobyłka (Mazowieckie)
Nissan Qashqai 1.2 DIG-T Xtronic N-Vision,LED Line Ass. Martwy pole Roz. Znaków Grz. Fotel Kamera Nav Panorama,2017,1 197 cm3,115 KM,62 800,Benzyna,160 000 km,Warszawa (Mazowieckie)
Nissan Qashqai+2 1.6 dCi Tekna S&S,Śliczny Nissan Qashqai 7 osobowy w pięknym kolorze i wyposażeniu,2012,1 598 cm3,130 KM,35 900,Diesel,249 000 km,Pisz (Warmińsko-mazurskie)
Nissan X-Trail 1.6 DCi Visia 2WD,"Nissan X-Trail 1,6 DCI VISIA 2 WD",2014,1 598 cm3,130 KM,42 000,Diesel,216 000 km,Gostyń (Wielkopolskie)
Nissan Qashqai 1.5 dCi Tekna DCT,"jeden właściciel, dach panorama, kamery 360', półskóry",2019,1 461 cm3,115 KM,71 000,Diesel,105 000 km,Gdańsk (Pomorskie)
Nissan Qashqai 1.6 Tekna,1598m3/PB/117KM/Tekna/Salon PL/Navi/AutoKlima/Kamera cofania/,2011,1 598 cm3,116 KM,37 000,Benzyna,148 715 km,Grudziądz (Kujawsko-pomorskie)
Nissan Qashqai 1.5 dCi Tekna,"1.5 DCI 110KM + KAMERA, LED, PANORAMA, NAVI + Qashqai II + Po Oplatach",2014,1 461 cm3,110 KM,22 900,Diesel,238 000 km,Ostrów Wielkopolski (Wielkopolskie)
Nissan Qashqai 2.0 dCi 4x4 Acenta,Automat Niemcy Nawigacja top stan,2007,1 995 cm3,150 KM,23 999,Diesel,200 900 km,Gowarzewo (Wielkopolskie)
Nissan Juke,1.5 dci 4x kamera solar,2015,1 461 cm3,110 KM,36 900,Diesel,71 212 km,Wadowice Dolne (Podkarpackie)
Nissan Qashqai 1.2 DIG-T N-Tec EU6,Pierwszy właściciel,2016,1 197 cm3,115 KM,66 000,Benzyna,45 000 km,Prudnik (Opolskie)
Nissan Qashqai 1.5 dCi TEKNA,Nissan qashqai 1.5 dci 110 km,2011,1 500 cm3,110 KM,28 000,Diesel,187 000 km,Krotoszyn (Wielkopolskie)
Nissan Qashqai 2.0 dCi 4x4 Acenta,Nissan Qashqai 4x4 150km 2009r,2009,1 995 cm3,150 KM,22 800,Diesel,216 000 km,Buczek (Łódzkie)
Nissan GT-R Black Edition,GT-R Black Edition jedyny taki w Polsce 800KM,2012,3 799 cm3,550 KM,450 000,Benzyna,30 000 km,Bytom (Śląskie)
Nissan Leaf 40kWh Acenta (6.6 kW),,2018,150 KM,"Nissan Leaf Acenta 40kWh - radar, podgrzewane fotele, navigacja",63 500,Elektryczny,37 162 km,Białystok (Podlaskie)
Nissan Juke 1.5 dCi Edition,,2011,1 461 cm3,110 KM,29 900,Diesel,160 500 km,Olkusz (Małopolskie)
Nissan Qashqai+2 2.0 dCi 4x4 Tekna EU5,2.0D 150Ps 4x4 Panorama Full Opcja Tekna Manual 7-Osób,2009,1 995 cm3,150 KM,25 900,Diesel,283 000 km,Nowa Grabownica (Mazowieckie)
Nissan Qashqai,1.33 Full Led Panorama Kamery Asystenty,2019,1 332 cm3,140 KM,59 500,Benzyna,99 000 km,Kłobuck (Śląskie)
Nissan Qashqai 1.6 DCi Acenta,Nisan Qashqai J11 1.6 DCI,2016,1 598 cm3,130 KM,39 900,Diesel,290 000 km,Janów (Podlaskie)
Nissan Juke 1.5 dCi Tekna,"1.5 DCI 110KM _ KAMERA, SKÓRA, NAVI, GRZ.FOTELE _ 177.000km",2011,1 461 cm3,110 KM,14 900,Diesel,177 000 km,Ostrów Wielkopolski (Wielkopolskie)
Nissan Qashqai 1.6 DCi Tekna Xtronic,Nissan Qashqai 1.6 DCi - osoba prywatna,2014,1 598 cm3,130 KM,51 500,Diesel,182 000 km,Kozienice (Mazowieckie)
